"","Date","Open","High","Low","Close","Volume","Company","shifted"
"131",2021-09-17,148.820007,148.820007,145.759995,146.059998,129868800,"Apple",142.940002
"132",2021-09-20,143.800003,144.839996,141.270004,142.940002,123478900,"Apple",143.429993
"133",2021-09-21,143.929993,144.600006,142.779999,143.429993,75834000,"Apple",145.850006
"134",2021-09-22,144.449997,146.429993,143.699997,145.850006,76404300,"Apple",146.830002
"135",2021-09-23,146.649994,147.080002,145.639999,146.830002,64838200,"Apple",146.919998
"136",2021-09-24,145.660004,147.470001,145.559998,146.919998,53477900,"Apple",145.369995
"137",2021-09-27,145.470001,145.960007,143.820007,145.369995,74150700,"Apple",141.910004
"138",2021-09-28,143.25,144.75,141.690002,141.910004,108972300,"Apple",142.830002
"139",2021-09-29,142.470001,144.449997,142.029999,142.830002,74602000,"Apple",141.5
"140",2021-09-30,143.660004,144.380005,141.279999,141.5,88934200,"Apple",142.649994
"141",2021-10-01,141.899994,142.919998,139.110001,142.649994,94639600,"Apple",139.139999
"142",2021-10-04,141.759995,142.210007,138.270004,139.139999,98322000,"Apple",141.110001
"143",2021-10-05,139.490005,142.240005,139.360001,141.110001,80861100,"Apple",142
"144",2021-10-06,139.470001,142.149994,138.369995,142,83221100,"Apple",143.289993
"145",2021-10-07,143.059998,144.220001,142.720001,143.289993,61732700,"Apple",142.899994
"146",2021-10-08,144.029999,144.179993,142.559998,142.899994,58718700,"Apple",142.809998
"147",2021-10-11,142.270004,144.809998,141.809998,142.809998,64452200,"Apple",141.509995
"148",2021-10-12,143.229996,143.25,141.039993,141.509995,73035900,"Apple",140.910004
"149",2021-10-13,141.240005,141.399994,139.199997,140.910004,78762700,"Apple",143.759995
"150",2021-10-14,142.110001,143.880005,141.509995,143.759995,69907100,"Apple",144.839996
"151",2021-10-15,143.770004,144.899994,143.509995,144.839996,67885200,"Apple",146.550003
"152",2021-10-18,143.449997,146.839996,143.160004,146.550003,85589200,"Apple",148.759995
"153",2021-10-19,147.009995,149.169998,146.550003,148.759995,76378900,"Apple",149.259995
"154",2021-10-20,148.699997,149.75,148.119995,149.259995,58418800,"Apple",149.479996
"155",2021-10-21,148.809998,149.639999,147.869995,149.479996,61421000,"Apple",148.690002
"156",2021-10-22,149.690002,150.179993,148.639999,148.690002,58883400,"Apple",148.639999
"157",2021-10-25,148.679993,149.369995,147.619995,148.639999,50720600,"Apple",149.320007
"158",2021-10-26,149.330002,150.839996,149.009995,149.320007,60893400,"Apple",148.850006
"159",2021-10-27,149.360001,149.729996,148.490005,148.850006,56094900,"Apple",152.570007
"160",2021-10-28,149.820007,153.169998,149.720001,152.570007,100077900,"Apple",149.800003
"161",2021-10-29,147.220001,149.940002,146.410004,149.800003,124850400,"Apple",148.960007
"162",2021-11-01,148.990005,149.699997,147.800003,148.960007,74588300,"Apple",150.020004
"163",2021-11-02,148.660004,151.570007,148.649994,150.020004,69122000,"Apple",151.490005
"164",2021-11-03,150.389999,151.970001,149.820007,151.490005,54511500,"Apple",150.960007
"165",2021-11-04,151.580002,152.429993,150.639999,150.960007,60394600,"Apple",151.279999
"166",2021-11-05,151.889999,152.199997,150.059998,151.279999,65414600,"Apple",150.440002
"167",2021-11-08,151.410004,151.570007,150.160004,150.440002,55020900,"Apple",150.809998
"168",2021-11-09,150.199997,151.429993,150.059998,150.809998,56787900,"Apple",147.919998
"169",2021-11-10,150.020004,150.130005,147.850006,147.919998,65187100,"Apple",147.869995
"170",2021-11-11,148.960007,149.429993,147.679993,147.869995,4.1e+07,"Apple",149.990005
"171",2021-11-12,148.429993,150.399994,147.479996,149.990005,63632600,"Apple",150
"172",2021-11-15,150.369995,151.880005,149.429993,150,59222800,"Apple",151
"173",2021-11-16,149.940002,151.490005,149.339996,151,59256200,"Apple",153.490005
"174",2021-11-17,151,155,150.990005,153.490005,88807000,"Apple",157.869995
"175",2021-11-18,153.710007,158.669998,153.050003,157.869995,137827700,"Apple",160.550003
"176",2021-11-19,157.649994,161.020004,156.529999,160.550003,117305600,"Apple",161.020004
"177",2021-11-22,161.679993,165.699997,161,161.020004,117467900,"Apple",161.410004
"178",2021-11-23,161.119995,161.800003,159.059998,161.410004,96041900,"Apple",161.940002
"179",2021-11-24,160.75,162.139999,159.639999,161.940002,69463600,"Apple",156.809998
"180",2021-11-26,159.570007,160.449997,156.360001,156.809998,76959800,"Apple",160.240005
"181",2021-11-29,159.369995,161.190002,158.789993,160.240005,88748200,"Apple",165.300003
"182",2021-11-30,159.990005,165.520004,159.919998,165.300003,174048100,"Apple",164.770004
"183",2021-12-01,167.479996,170.300003,164.529999,164.770004,152052500,"Apple",163.759995
"184",2021-12-02,158.740005,164.199997,157.800003,163.759995,136739200,"Apple",161.839996
"185",2021-12-03,164.020004,164.960007,159.720001,161.839996,117938300,"Apple",165.320007
"186",2021-12-06,164.289993,167.880005,164.279999,165.320007,107497000,"Apple",171.179993
"187",2021-12-07,169.080002,171.580002,168.339996,171.179993,120405400,"Apple",175.080002
"188",2021-12-08,172.130005,175.960007,170.699997,175.080002,116998900,"Apple",174.559998
"189",2021-12-09,174.910004,176.75,173.919998,174.559998,108923700,"Apple",179.449997
"190",2021-12-10,175.210007,179.630005,174.690002,179.449997,115228100,"Apple",175.740005
"191",2021-12-13,181.119995,182.130005,175.529999,175.740005,153237000,"Apple",174.330002
"192",2021-12-14,175.25,177.740005,172.210007,174.330002,139380400,"Apple",179.300003
"193",2021-12-15,175.110001,179.5,172.309998,179.300003,131063300,"Apple",172.259995
"194",2021-12-16,179.279999,181.139999,170.75,172.259995,150185800,"Apple",171.139999
"195",2021-12-17,169.929993,173.470001,169.690002,171.139999,195432700,"Apple",169.75
"196",2021-12-20,168.279999,170.580002,167.460007,169.75,107499100,"Apple",172.990005
"197",2021-12-21,171.559998,173.199997,169.119995,172.990005,91185900,"Apple",175.639999
"198",2021-12-22,173.039993,175.860001,172.149994,175.639999,92135300,"Apple",176.279999
"199",2021-12-23,175.850006,176.850006,175.270004,176.279999,68356600,"Apple",180.330002
"200",2021-12-27,177.089996,180.419998,177.070007,180.330002,74919600,"Apple",179.289993
"201",2021-12-28,180.160004,181.330002,178.529999,179.289993,79144300,"Apple",179.380005
"202",2021-12-29,179.330002,180.630005,178.139999,179.380005,62348900,"Apple",178.199997
"203",2021-12-30,179.470001,180.570007,178.089996,178.199997,59773000,"Apple",177.570007
"204",2021-12-31,178.089996,179.229996,177.259995,177.570007,64062300,"Apple",182.009995
"205",2022-01-03,177.830002,182.880005,177.710007,182.009995,104487900,"Apple",179.699997
"206",2022-01-04,182.630005,182.940002,179.119995,179.699997,99310400,"Apple",174.919998
"207",2022-01-05,179.610001,180.169998,174.639999,174.919998,94537600,"Apple",172
"208",2022-01-06,172.699997,175.300003,171.639999,172,96904000,"Apple",172.169998
"209",2022-01-07,172.889999,174.139999,171.029999,172.169998,86580100,"Apple",172.190002
"210",2022-01-10,169.080002,172.5,168.169998,172.190002,106765600,"Apple",175.080002
"211",2022-01-11,172.320007,175.179993,170.820007,175.080002,76138300,"Apple",175.529999
"212",2022-01-12,176.119995,177.179993,174.820007,175.529999,74805200,"Apple",172.190002
"213",2022-01-13,175.779999,176.619995,171.789993,172.190002,84505800,"Apple",173.070007
"214",2022-01-14,171.339996,173.779999,171.089996,173.070007,80355000,"Apple",169.800003
"215",2022-01-18,171.509995,172.539993,169.410004,169.800003,90956700,"Apple",166.229996
"216",2022-01-19,170,171.080002,165.940002,166.229996,94815000,"Apple",164.509995
"217",2022-01-20,166.979996,169.679993,164.179993,164.509995,91420500,"Apple",162.410004
"218",2022-01-21,164.419998,166.330002,162.300003,162.410004,122848900,"Apple",161.619995
"219",2022-01-24,160.020004,162.300003,154.699997,161.619995,162294600,"Apple",159.779999
"220",2022-01-25,158.979996,162.759995,157.020004,159.779999,115798400,"Apple",159.690002
"221",2022-01-26,163.5,164.389999,157.820007,159.690002,108275300,"Apple",159.220001
"222",2022-01-27,162.449997,163.839996,158.279999,159.220001,121954600,"Apple",170.330002
"223",2022-01-28,165.710007,170.350006,162.800003,170.330002,179935700,"Apple",174.779999
"224",2022-01-31,170.160004,175,169.509995,174.779999,115541600,"Apple",174.610001
"225",2022-02-01,174.009995,174.839996,172.309998,174.610001,86213900,"Apple",175.839996
"226",2022-02-02,174.75,175.880005,173.330002,175.839996,84914300,"Apple",172.899994
"227",2022-02-03,174.479996,176.240005,172.119995,172.899994,89418100,"Apple",172.389999
"228",2022-02-04,171.679993,174.100006,170.679993,172.389999,82391400,"Apple",171.660004
"229",2022-02-07,172.860001,173.949997,170.949997,171.660004,77251200,"Apple",174.830002
"230",2022-02-08,171.729996,175.350006,171.429993,174.830002,74829200,"Apple",176.279999
"231",2022-02-09,176.050003,176.649994,174.899994,176.279999,71285000,"Apple",172.119995
"232",2022-02-10,174.139999,175.479996,171.550003,172.119995,90865900,"Apple",168.639999
"233",2022-02-11,172.330002,173.080002,168.039993,168.639999,98566000,"Apple",168.880005
"234",2022-02-14,167.369995,169.580002,166.559998,168.880005,86185500,"Apple",172.789993
"235",2022-02-15,170.970001,172.949997,170.25,172.789993,62527400,"Apple",172.550003
"236",2022-02-16,171.850006,173.339996,170.050003,172.550003,61177400,"Apple",168.880005
"237",2022-02-17,171.029999,171.910004,168.470001,168.880005,69589300,"Apple",167.300003
"238",2022-02-18,169.820007,170.539993,166.190002,167.300003,82772700,"Apple",164.320007
"239",2022-02-22,164.979996,166.690002,162.149994,164.320007,91162800,"Apple",160.070007
"240",2022-02-23,165.539993,166.149994,159.75,160.070007,90009200,"Apple",162.740005
"241",2022-02-24,152.580002,162.850006,152,162.740005,141147500,"Apple",164.850006
"242",2022-02-25,163.839996,165.119995,160.869995,164.850006,91974200,"Apple",165.119995
"243",2022-02-28,163.059998,165.419998,162.429993,165.119995,94869100,"Apple",163.199997
"244",2022-03-01,164.699997,166.600006,161.970001,163.199997,83474400,"Apple",166.559998
"245",2022-03-02,164.389999,167.360001,162.949997,166.559998,79724800,"Apple",166.229996
"246",2022-03-03,168.470001,168.910004,165.550003,166.229996,76678400,"Apple",163.169998
"247",2022-03-04,164.490005,165.550003,162.100006,163.169998,83737200,"Apple",159.300003
"248",2022-03-07,163.360001,165.020004,159.039993,159.300003,96418800,"Apple",157.440002
"249",2022-03-08,158.820007,162.880005,155.800003,157.440002,131148300,"Apple",162.949997
"250",2022-03-09,161.479996,163.410004,159.410004,162.949997,91454900,"Apple",158.520004
"251",2022-03-10,160.199997,160.389999,155.979996,158.520004,105342000,"Apple",154.729996
"252",2022-03-11,158.929993,159.279999,154.5,154.729996,96836300,"Apple",154.729996
